Data,Vazao,Precipitacao
1947-04,81.85097666666667,17.720000000000002
1947-05,62.72171935483871,11.94
1947-06,53.81092666666667,11.4
1947-07,51.07831290322581,29.07
1947-08,48.98469032258065,86.97999999999999
1947-09,54.2827,81.42
1947-10,56.66165161290322,175.19
1947-11,63.038109999999996,126.14999999999999
1947-12,115.41117741935484,445.47
1948-01,101.69810967741935,106.39
1948-02,116.50630689655172,334.79
1948-03,122.69672903225808,185.28
1948-04,81.80587999999999,46.47
1948-05,63.144009677419355,28.73
1948-06,55.45675666666667,20.279999999999998
1948-07,47.716061290322585,2.7800000000000002
1948-08,40.73747419354839,2.3200000000000003
1948-09,37.189240000000005,32.03
1948-10,41.308983870967744,63.589999999999996
1948-11,87.25497666666666,318.35
1948-12,194.09418387096775,439.33
1949-01,178.4100612903226,438.5
1949-02,259.12082142857145,336.63
1949-03,141.94129032258064,83.77
1949-04,111.49209333333333,98.78
1949-05,85.19446451612903,15.01
1949-06,80.4857,66.16
1949-07,63.89648709677419,2.91
1949-08,55.006477419354844,1.45
1949-09,47.54295666666667,1.06
1949-10,63.93026774193548,164.51
1949-11,58.15809,88.73
1949-12,107.51784516129031,309.56
1950-01,113.70463225806452,268.48
1950-02,112.45701785714286,155.41
1950-03,87.65024516129033,144.43
1950-04,82.15980333333333,159.03
1950-05,65.18752903225807,18.74
1950-06,54.22381333333333,16.59
1950-07,46.94671935483871,21.5
1950-08,39.595803225806456,3.71
1950-09,39.812133333333335,54.410000000000004
1950-10,45.616022580645165,122.24000000000001
1950-11,97.85678666666668,395.83
1950-12,120.04467096774194,253.67
1951-01,130.22797741935486,370.9
1951-02,170.32555714285715,330.23
1951-03,208.32280645161288,404.38
1951-04,163.62786666666668,83.98
1951-05,98.67464838709677,10.81
1951-06,80.70638666666667,6.09
1951-07,69.17296774193548,2.44
1951-08,60.07820967741936,8.12
1951-09,52.051653333333334,9.940000000000001
1951-10,48.77978387096774,28.2
1951-11,43.84854666666667,73.57
1951-12,84.49096774193549,304.65
1952-01,146.91114193548387,448.35
1952-02,208.11744827586207,337.13
1952-03,205.88945161290323,313.18
1952-04,127.08386666666667,80.21000000000001
1952-05,91.13932258064516,1.35
1952-06,80.76676,35.23
1952-07,65.8073064516129,4.66
1952-08,56.90681612903226,31.02
1952-09,58.80450666666666,86.92
1952-10,59.690574193548386,115.57000000000001
1952-11,94.31144666666665,240.01
1952-12,107.93752903225807,308.49
1953-01,71.10287096774194,179.17
1953-02,93.91824285714286,269.63
1953-03,100.41163870967742,239.35999999999999
1953-04,88.64019666666667,78.76
1953-05,64.92793225806452,52.54
1953-06,56.202056666666664,19.74
1953-07,47.73688709677419,7.5
1953-08,42.05636774193548,7.96
1953-09,41.25355666666667,51.36
1953-10,40.132583870967736,78.01
1953-11,64.2864,188.83
1953-12,106.43113225806452,282.74
1954-01,88.60567096774193,77.09
1954-02,62.67231785714286,150.10999999999999
1954-03,49.33698064516129,136.76
1954-04,62.70789666666666,60.72
1954-05,45.51317741935484,55.78
1954-06,37.079793333333335,20.38
1954-07,31.46867741935484,5.85
1954-08,27.190135483870968,1.59
1954-09,25.697603333333333,0.96
1954-10,31.639974193548387,55.56
1954-11,46.04651666666667,160.24
1954-12,54.98782258064516,217.08
